FunctionName,AppliesToStatus
INFO.STORAGEFILES,DISCOURAGE
INFO.STORAGEFOLDERS,DISCOURAGE
INFO.TABLEPERMISSIONS,DISCOURAGE
INFO.TABLES,DISCOURAGE
INFO.TABLESTORAGES,DISCOURAGE
INFO.VARIATIONS,DISCOURAGE
INT,ALL
INTERSECT,ALL
INTRATE,ALL
IPMT,ALL
ISAFTER,ALL
ISATLEVEL,VC
ISBLANK,ALL
ISCROSSFILTERED,ALL
ISEMPTY,ALL
ISERROR,ALL
ISEVEN,ALL
ISFILTERED,ALL
ISINSCOPE,ALL
ISLOGICAL,ALL
ISNONTEXT,ALL
ISNUMBER,ALL
ISO.CEILING,ALL
ISODD,ALL
ISONORAFTER,ALL
ISPMT,ALL
ISSELECTEDMEASURE,MCT
ISSUBTOTAL,MCT
ISTEXT,ALL
KEEPFILTERS,ALL
LAST,VC
LASTDATE,DISCOURAGE
LASTNONBLANK,DISCOURAGE
LASTNONBLANKVALUE,DISCOURAGE
LCM,ALL
LEFT,ALL
LEN,ALL
LINEST,ALL
LINESTX,ALL
LN,ALL
LOG,ALL
LOG10,ALL
LOOKUP,VC
LOOKUPVALUE,ALL
LOWER,ALL
MATCHBY,ALL
MAX,ALL
MAXA,ALL
MAXX,ALL
MDURATION,ALL
MEDIAN,ALL
MEDIANX,ALL
MID,ALL
MIN,ALL
MINA,ALL
MINUTE,ALL
MINX,ALL
MOD,ALL
MONTH,ALL
MOVINGAVERAGE,VC
MROUND,ALL
NAMEOF,ALL
NATURALINNERJOIN,ALL
NATURALLEFTOUTERJOIN,ALL
NETWORKDAYS,ALL
NEXT,VC
NEXTDAY,DISCOURAGE
NEXTMONTH,DISCOURAGE
NEXTQUARTER,DISCOURAGE
NEXTYEAR,DISCOURAGE
NOMINAL,ALL
NONVISUAL,MCT
NORM.DIST,ALL
NORM.INV,ALL
NORM.S.DIST,ALL
NORM.S.INV,ALL
NOT,ALL
NOW,ALL
NPER,ALL
ODD,ALL
ODDFPRICE,ALL
ODDFYIELD,ALL
ODDLPRICE,ALL
ODDLYIELD,ALL
OFFSET,ALL
OPENINGBALANCEMONTH,DISCOURAGE
OPENINGBALANCEQUARTER,DISCOURAGE
OPENINGBALANCEYEAR,DISCOURAGE
OR,ALL
ORDERBY,ALL
PARALLELPERIOD,DISCOURAGE
PARTITIONBY,ALL
PATH,ALL
PATHCONTAINS,ALL
PATHITEM,ALL
PATHITEMREVERSE,ALL
PATHLENGTH,ALL
PDURATION,ALL
PERCENTILE.EXC,ALL
PERCENTILE.INC,ALL
PERCENTILEX.EXC,ALL
PERCENTILEX.INC,ALL
PERMUT,ALL
PI,ALL
PMT,ALL
POISSON.DIST,ALL
POWER,ALL
PPMT,ALL
PREVIOUS,VC
PREVIOUSDAY,DISCOURAGE
PREVIOUSMONTH,DISCOURAGE
PREVIOUSQUARTER,DISCOURAGE
PREVIOUSYEAR,DISCOURAGE
PRICE,ALL
PRICEDISC,ALL
PRICEMAT,ALL
PRODUCT,ALL
PRODUCTX,ALL
PV,ALL
QUARTER,ALL
QUOTIENT,ALL
RADIANS,ALL
RAND,ALL
RANDBETWEEN,ALL
RANGE,VC
RANK,ALL
RANK.EQ,ALL
RANKX,ALL
RATE,ALL
RECEIVED,ALL
RELATED,MCT
RELATEDTABLE,MCT
REMOVEFILTERS,ALL
REPLACE,ALL
REPT,ALL
RIGHT,ALL
ROLLUP,MCT
ROLLUPADDISSUBTOTAL,MCT
ROLLUPGROUP,MCT
ROLLUPISSUBTOTAL,MCT
ROUND,ALL
ROUNDDOWN,ALL
ROUNDUP,ALL
ROW,ALL
ROWNUMBER,ALL
RRI,ALL
RUNNINGSUM,VC
SAMEPERIODLASTYEAR,DISCOURAGE
SAMPLE,ALL
SAMPLEAXISWITHLOCALMINMAX,DISCOURAGE
SAMPLECARTESIANPOINTSBYCOVER,DISCOURAGE
SEARCH,ALL
SECOND,ALL
SELECTCOLUMNS,ALL
SELECTEDMEASURE,MCT
SELECTEDMEASUREFORMATSTRING,MCT
SELECTEDMEASURENAME,MCT
SELECTEDVALUE,ALL
SIGN,ALL
SIN,ALL
SINH,ALL
SLN,ALL
SQRT,ALL
SQRTPI,ALL
STARTOFMONTH,DISCOURAGE
STARTOFQUARTER,DISCOURAGE
STARTOFYEAR,DISCOURAGE
STDEV.P,ALL
STDEV.S,ALL
STDEVX.P,ALL
STDEVX.S,ALL
SUBSTITUTE,ALL
SUBSTITUTEWITHINDEX,MCT
SUM,ALL
SUMMARIZE,ALL
SUMMARIZECOLUMNS,MCT
SUMX,ALL
SWITCH,ALL
SYD,ALL
T.DIST,ALL
T.DIST.2T,ALL
T.DIST.RT,ALL
T.INV,ALL
T.INV.2T,ALL
TAN,ALL
TANH,ALL
TBILLEQ,ALL
TBILLPRICE,ALL
TBILLYIELD,ALL
TIME,ALL
TIMEVALUE,ALL
TOCSV,ALL
TODAY,ALL
TOJSON,ALL
TOPN,ALL
TOPNSKIP,MCT
TOTALMTD,DISCOURAGE
TOTALQTD,DISCOURAGE
TOTALYTD,DISCOURAGE
TREATAS,ALL
TRIM,ALL
TRUNC,ALL
UNICHAR,ALL
UNICODE,ALL
UNION,ALL
UPPER,ALL
USERCULTURE,ALL
USERELATIONSHIP,MCT
USERNAME,ALL
USEROBJECTID,ALL
USERPRINCIPALNAME,ALL
UTCNOW,ALL
UTCTODAY,ALL
VALUE,ALL
VALUES,ALL
VAR.P,ALL
VAR.S,ALL
VARX.P,ALL
VARX.S,ALL
VDB,ALL
WEEKDAY,ALL
WEEKNUM,ALL
WINDOW,ALL
XIRR,ALL
XNPV,ALL
YEAR,ALL
YEARFRAC,ALL
YIELD,ALL
YIELDDISC,ALL
YIELDMAT,ALL
FALSE,ALL
TRUE,ALL
